Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
AMD,89.69,2.5,+166.67%,1.5,94.5,85.5,104.35%,0.4029999999999999,2023-05-05,84.00P,1.24,88.00P,2.57,92.00C,2.42,96.00C,1.25,weekly,0.1119999999999998,0.04479999999999986
AMD,89.69,2.46,+159.74%,1.54,93.46,84.54,104.35%,0.402,2023-05-05,83.00P,1.0,87.00P,2.15,91.00C,2.81,95.00C,1.5,weekly,0.068,0.027642276422764237
AMD,89.69,2.76,+123.21%,2.24,95.76,85.24,104.35%,0.46,2023-05-05,83.00P,1.0,88.00P,2.57,93.00C,2.08,98.00C,0.89,weekly,0.0599999999999998,0.021739130434782535
AMD,89.69,2.79,+126.24%,2.21,96.79,86.21,104.35%,0.452,2023-05-05,84.00P,1.24,89.00P,3.0,94.00C,1.76,99.00C,0.73,weekly,0.0499999999999998,0.017921146953404955
AAPL,169.59,2.73,+120.26%,2.27,175.23,164.77,55.56%,0.4589999999999999,2023-05-05,162.50P,1.07,167.50P,2.43,172.50C,2.04,177.50C,0.67,weekly,0.0249999999999999,0.009157509157508952
AMD,89.69,2.71,+118.34%,2.29,94.71,84.29,104.35%,0.462,2023-05-05,82.00P,0.79,87.00P,2.15,92.00C,2.42,97.00C,1.07,weekly,0.02,0.0073800738007380245
NVDA,289.1,5.9,+143.90%,4.1,295.9,274.1,42.00%,0.409,2023-05-12,270.00P,2.05,280.00P,4.1,290.00C,7.7,300.00C,3.85,weekly,-0.0099999999999997,-0.0016949152542372122
SBUX,114.56,2.24,+127.27%,1.76,118.24,109.76,70.67%,0.437,2023-05-05,108.00P,0.81,112.00P,1.79,116.00C,2.22,120.00C,0.96,weekly,-0.0119999999999996,-0.005357142857142782
F,12.06,0.26,+108.33%,0.24,12.76,11.74,79.10%,0.43,2023-05-05,11.50P,0.15,12.00P,0.31,12.50C,0.17,13.00C,0.07,weekly,-0.025,-0.09615384615384616
AAPL,169.59,2.94,+142.72%,2.06,175.44,164.56,36.35%,0.405,2023-05-12,162.50P,1.66,167.50P,3.05,172.50C,2.61,177.50C,1.06,weekly,-0.0349999999999999,-0.01190476190476182
META,243.18,2.79,+126.24%,2.21,247.79,237.21,41.90%,0.433,2023-05-05,235.00P,1.09,240.00P,2.29,245.00C,2.88,250.00C,1.29,weekly,-0.0449999999999999,-0.01612903225806446
CCL,9.49,0.24,+92.31%,0.26,9.74,8.76,55.24%,0.421,2023-05-12,8.50P,0.08,9.00P,0.14,9.50C,0.34,10.00C,0.16,weekly,-0.0495,-0.20625
AMD,89.69,2.92,+94.81%,3.08,96.92,85.08,104.35%,0.505,2023-05-05,82.00P,0.79,88.00P,2.57,94.00C,1.76,100.00C,0.62,weekly,-0.05,-0.017123287671232855
CLF,15.21,0.22,+78.57%,0.28,15.72,14.78,56.03%,0.456,2023-05-05,14.50P,0.09,15.00P,0.2,15.50C,0.18,16.00C,0.07,weekly,-0.052,-0.2363636363636364
DKNG,22.6,0.83,+123.88%,0.67,24.33,21.17,144.84%,0.4039999999999999,2023-05-05,20.50P,0.42,22.00P,0.87,23.50C,0.8,25.00C,0.42,weekly,-0.0640000000000001,-0.07710843373494003
AMD,89.69,2.96,+97.37%,3.04,97.96,86.04,104.35%,0.494,2023-05-05,83.00P,1.0,89.00P,3.0,95.00C,1.48,101.00C,0.52,weekly,-0.076,-0.025675675675675698
META,243.18,2.78,+125.23%,2.22,250.28,239.72,41.90%,0.423,2023-05-05,237.50P,1.62,242.50P,3.25,247.50C,1.95,252.50C,0.8,weekly,-0.1049999999999999,-0.037769784172661934
DIS,102.21,0.93,+86.92%,1.07,103.93,100.07,32.71%,0.475,2023-05-05,99.00P,0.26,101.00P,0.65,103.00C,0.88,105.00C,0.34,weekly,-0.1200000000000001,-0.1290322580645162
JPM,141.2,0.93,+86.92%,1.07,142.93,139.07,23.82%,0.473,2023-05-05,138.00P,0.35,140.00P,0.73,142.00C,0.88,144.00C,0.33,weekly,-0.1240000000000001,-0.13333333333333341
GOOG,107.71,0.97,+94.17%,1.03,109.97,106.03,33.38%,0.452,2023-05-05,105.00P,0.39,107.00P,0.91,109.00C,0.7,111.00C,0.25,weekly,-0.126,-0.1298969072164949
GOOGL,107.2,1.6,+114.29%,1.4,111.6,105.4,30.30%,0.421,2023-05-12,104.00P,0.94,107.00P,1.93,110.00C,1.0,113.00C,0.39,weekly,-0.1369999999999998,-0.0856249999999999
DIS,102.21,0.93,+86.92%,1.07,104.93,101.07,32.71%,0.46,2023-05-05,100.00P,0.43,102.00P,1.02,104.00C,0.53,106.00C,0.19,weekly,-0.15,-0.16129032258064518
TSLA,161.83,2.6,+108.33%,2.4,167.6,157.4,57.87%,0.449,2023-05-05,155.00P,1.1,160.00P,2.51,165.00C,2.01,170.00C,0.82,weekly,-0.1549999999999998,-0.0596153846153845
GOOGL,107.2,0.94,+88.68%,1.06,109.94,106.06,32.10%,0.45,2023-05-05,105.00P,0.47,107.00P,1.08,109.00C,0.52,111.00C,0.19,weekly,-0.1600000000000001,-0.17021276595744692
TSLA,161.83,4.01,+114.90%,3.49,169.01,153.49,49.29%,0.444,2023-05-12,150.00P,1.49,157.50P,3.3,165.00C,3.85,172.50C,1.65,weekly,-0.1600000000000003,-0.03990024937655872
PYPL,75.11,0.87,+76.99%,1.13,77.87,74.13,41.11%,0.471,2023-05-05,73.00P,0.4,75.00P,1.0,77.00C,0.42,79.00C,0.15,weekly,-0.1879999999999997,-0.2160919540229885
NVDA,289.1,3.95,+111.27%,3.55,296.45,281.05,49.79%,0.445,2023-05-05,277.50P,1.5,285.00P,3.3,292.50C,3.7,300.00C,1.55,weekly,-0.2124999999999994,-0.053797468354430306
AMD,89.69,3.08,+78.57%,3.92,99.08,85.92,104.35%,0.529,2023-05-05,82.00P,0.79,89.00P,3.0,96.00C,1.23,103.00C,0.36,weekly,-0.2169999999999998,-0.07045454545454542
JPM,141.2,0.88,+78.57%,1.12,143.88,140.12,23.82%,0.447,2023-05-05,139.00P,0.51,141.00P,1.06,143.00C,0.52,145.00C,0.19,weekly,-0.226,-0.2568181818181818
AMD,89.69,2.99,+74.56%,4.01,97.99,85.01,104.35%,0.54,2023-05-05,81.00P,0.63,88.00P,2.57,95.00C,1.48,102.00C,0.43,weekly,-0.2299999999999995,-0.07692307692307673
MSFT,305.56,2.37,+90.11%,2.63,309.87,300.13,27.30%,0.48,2023-05-05,297.50P,0.7,302.50P,1.64,307.50C,2.17,312.50C,0.74,weekly,-0.2299999999999999,-0.09704641350210973
NVDA,289.1,4.56,+83.82%,5.44,294.56,275.44,49.79%,0.519,2023-05-05,270.00P,0.53,280.00P,1.84,290.00C,4.8,300.00C,1.55,weekly,-0.2500000000000004,-0.05482456140350878
