Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
BAC,30.56,0.22,+78.57%,0.28,31.22,30.28,32.80%,0.4579999999999999,2023-04-21,30.00P,0.1,30.50P,0.25,31.00C,0.13,31.50C,0.06,monthly,-5.100000000000005,-0.23181818181818198
DIS,100.93,1.03,+106.19%,0.97,102.03,97.97,43.18%,0.457,2023-04-21,97.00P,0.23,99.00P,0.52,101.00C,1.27,103.00C,0.53,monthly,-5.599999999999987,-0.05436893203883486
WFC,41.87,0.5,+100.00%,0.5,42.5,40.5,26.32%,0.431,2023-04-28,40.00P,0.15,41.00P,0.32,42.00C,0.63,43.00C,0.3,weekly,-6.899999999999995,-0.13799999999999996
NVDA,276.67,2.82,+129.36%,2.18,282.82,272.18,46.58%,0.421,2023-04-21,270.00P,1.39,275.00P,2.93,280.00C,2.38,285.00C,1.1,monthly,-7.5,-0.026595744680851123
CLF,17.19,0.19,+61.29%,0.31,17.69,16.81,57.19%,0.452,2023-04-21,16.50P,0.09,17.00P,0.19,17.50C,0.16,18.00C,0.07,monthly,-8.399999999999999,-0.4421052631578948
JPM,141.4,1.11,+124.72%,0.89,143.11,138.89,18.03%,0.401,2023-04-28,138.00P,0.51,140.00P,0.93,142.00C,1.37,144.00C,0.68,weekly,-8.79999999999999,-0.07927927927927922
AA,42.15,1.02,+104.08%,0.98,43.52,39.48,110.44%,0.44,2023-04-21,38.50P,0.25,40.50P,0.65,42.50C,1.19,44.50C,0.57,monthly,-10.0,-0.09803921568627456
VZ,38.94,0.19,+61.29%,0.31,39.19,38.31,27.14%,0.417,2023-04-21,38.00P,0.07,38.50P,0.12,39.00C,0.27,39.50C,0.13,monthly,-10.15,-0.5342105263157895
SCHW,54.0,1.0,+100.00%,1.0,55.0,51.0,38.42%,0.4479999999999999,2023-04-28,50.00P,0.2,52.00P,0.48,54.00C,1.32,56.00C,0.6,weekly,-10.400000000000006,-0.10400000000000015
UAL,43.04,1.07,+74.83%,1.43,46.57,41.93,91.68%,0.527,2023-04-21,40.50P,0.29,43.00P,1.1,45.50C,0.38,48.00C,0.12,monthly,-11.249999999999991,-0.10514018691588772
UAL,43.04,0.78,+108.33%,0.72,44.28,41.22,91.68%,0.4,2023-04-21,40.50P,0.29,42.00P,0.63,43.50C,0.95,45.00C,0.51,monthly,-11.999999999999991,-0.15384615384615374
SCHW,54.0,0.63,+72.41%,0.87,54.63,51.87,48.74%,0.494,2023-04-21,51.00P,0.09,52.50P,0.23,54.00C,0.79,55.50C,0.3,monthly,-12.9,-0.20476190476190478
SCHW,54.0,0.63,+72.41%,0.87,56.13,53.37,48.74%,0.486,2023-04-21,52.50P,0.26,54.00P,0.74,55.50C,0.24,57.00C,0.09,monthly,-14.100000000000003,-0.22380952380952387
DIS,100.93,1.44,+92.31%,1.56,103.44,97.56,29.33%,0.473,2023-04-28,96.00P,0.43,99.00P,1.0,102.00C,1.39,105.00C,0.52,weekly,-14.100000000000009,-0.09791666666666675
DIS,100.93,0.94,+88.68%,1.06,102.94,99.06,43.18%,0.452,2023-04-21,98.00P,0.37,100.00P,0.84,102.00C,0.82,104.00C,0.35,monthly,-15.600000000000009,-0.16595744680851074
UAL,43.04,0.88,+78.57%,1.12,44.88,41.12,91.68%,0.481,2023-04-21,40.00P,0.2,42.00P,0.63,44.00C,0.77,46.00C,0.32,monthly,-15.799999999999995,-0.17954545454545462
SCHW,54.0,0.71,+55.04%,1.29,54.71,51.29,48.74%,0.565,2023-04-21,50.00P,0.06,52.00P,0.16,54.00C,0.79,56.00C,0.18,monthly,-16.000000000000014,-0.22535211267605654
UAL,43.04,0.89,+80.18%,1.11,45.39,41.61,91.68%,0.474,2023-04-21,40.50P,0.29,42.50P,0.82,44.50C,0.62,46.50C,0.26,monthly,-16.20000000000001,-0.18202247191011245
