Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask"
TSLA,225.17,3.05,+25.52%,11.95,240.55,219.45,57.47%,66.7%,2023-06-09,207.50P,0.17,222.50P,2.67,237.50C,0.67,252.50C,0.12
TSLA,225.17,3.95,+29.15%,13.55,246.45,221.05,57.47%,65.1%,2023-06-09,207.50P,0.17,225.00P,3.85,242.50C,0.34,260.00C,0.07
TSLA,225.17,3.96,+35.87%,11.04,243.96,221.04,57.47%,63.9%,2023-06-09,210.00P,0.27,225.00P,3.85,240.00C,0.48,255.00C,0.1
TSLA,225.17,3.16,+33.83%,9.34,238.16,219.34,57.47%,63.8%,2023-06-09,210.00P,0.27,222.50P,2.67,235.00C,0.95,247.50C,0.19
ROKU,70.14,2.15,+27.39%,7.85,77.15,62.85,72.41%,63.2%,2023-06-16,55.00P,0.07,65.00P,1.08,75.00C,1.48,85.00C,0.34
TSLA,225.17,3.93,+45.86%,8.57,241.43,221.07,57.47%,61.7%,2023-06-09,212.50P,0.44,225.00P,3.85,237.50C,0.67,250.00C,0.15
TSLA,225.17,3.23,+47.71%,6.77,235.73,219.27,57.47%,59.3%,2023-06-09,212.50P,0.44,222.50P,2.67,232.50C,1.35,242.50C,0.35
TSLA,225.17,2.92,+41.24%,7.08,232.92,217.08,57.47%,59.2%,2023-06-09,210.00P,0.27,220.00P,1.77,230.00C,1.91,240.00C,0.49
TSLA,225.17,3.81,+61.55%,6.19,238.81,221.19,57.47%,57.9%,2023-06-09,215.00P,0.73,225.00P,3.85,235.00C,0.95,245.00C,0.26
TSLA,225.17,7.36,+58.23%,12.64,252.36,217.64,52.53%,57.6%,2023-06-16,205.00P,1.29,225.00P,7.3,245.00C,1.88,265.00C,0.53
JPM,140.77,0.59,+41.84%,1.41,142.59,139.41,19.23%,56.9%,2023-06-09,138.00P,0.1,140.00P,0.36,142.00C,0.41,144.00C,0.08
XOM,108.68,0.67,+50.38%,1.33,109.67,106.33,25.25%,56.5%,2023-06-09,105.00P,0.08,107.00P,0.23,109.00C,0.69,111.00C,0.17
